,Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name
,Health Synergy,3253 N Federal Hwy,,Boca Raton,FL,33431,US,https://healthsynergyinc.com/,5615715338,staff@healthsynergyinc.com,2021-01-23,2/24/2022,Yes,C,CBD,,
,Heritage Smoke Shop,5909 N Federal Hwy,,Boca Raton,FL,33487,US,http://www.heritagesmokeshop.com,5618267215,len@heritagesmokeshop.com,2019-01-02,,Yes,S,CBD,,
,Marley's Tobacco & Vapes,22785 FL-7,,Boca Raton,FL,33428,US,http://www.marleystobacco.com/,5614839253,,2019-11-04,11/4/2019,Yes,S,CBD,Yes,
,Marley's Tobacco Too,1449 Yamato Rd #4,,Boca Raton,FL,33431,US,https://www.marleystobacco.com/,5612414242,,2018-11-23,11/4/2019,Yes,S,CBD,Yes,
,Nirvana Room Smoke & Vape,883 E Palmetto Park Rd,,Boca Raton,FL,33432,US,,8189876701,,2021-10-03,,Yes,H,CBD,Yes,
,The Hook Up,132 NW 20th St,,Boca Raton,FL,33431,US,,5613956975,thehookup91@hotmail.com,2019-01-04,1/4/2019,Yes,H,CBD,Yes,
,Vape & Smoke Shop,555 N Federal Hwy Ste 9,,Boca Raton,FL,33432,US,https://www.vapensmokeshop.com/,5617174141,vssboca1@gmail.com,2021-09-29,9/29/2021,Yes,S,CBD,Yes,
,Vape Connection,7162 Beracasa Way,,Boca Raton,FL,33433,US,,5614303622,,2021-10-01,,Yes,S,CBD,,
,Vapes & More,6919 SW 18th St Bldg C-105,,Boca Raton,FL,33433,US,,5612457843,palmettosw18llc@gmail.com,2019-02-09,,,S,,Yes,
,Vapes and More,8903 Glades Rd Ste 13-G,,Boca Raton,FL,33434,US,https://website-5819286727437962996103-vaporizerstore.business.site/,5614197749,,2019-05-31,,,S,,,
,Vapor Lounge Boca,222 Yamato Rd,,Boca Raton,FL,33431,US,http://www.vaporloungeboca.com/,5614198116,vaporloungeboca@gmail.com,2018-09-06,3/8/2020,Yes,V,CBD,Yes,
,Vapor Shark,803 N Federal Hwy,,Boca Raton,FL,33432,US,https://www.vaporshark.com/,5619614773,support@vaporshark.com,2018-09-08,10/5/2021,Yes,V,CBD,,
,Yolo Vapes N Smoke,10075 Yamato Rd Bay 2,,Boca Raton,FL,33498,US,https://vapestorebocaraton.com/,5617178402,vapeshopmanager@gmail.com,2022-03-21,3/21/2022,Yes,S,CBD,,
,"Your CBD Store - Boca Raton, FL",23133 Sandalfoot Plaza Dr #3,,Boca Raton,FL,33428,US,https://cbdrx4u.com/,5614303936,,2019-09-11,9/11/2019,Yes,C,CBD,,
,Best Budz Smoke Shop,10347 Bonita Beach Rd SE,,Bonita Springs,FL,34135,US,,2393902400,,2021-10-06,,Yes,S,CBD,,
,CBD Doctor - Bonita Springs,26251 S Tamiami Trail Ste 6,,Bonita Springs,FL,34134,US,https://www.cbddoctor.com/,8444420362,info@cbddoctor.com,2020-07-01,7/1/2020,Yes,C,CBD,,
,O.G Vape N Smoke,12031 Bonita Beach Rd SE,,Bonita Springs,FL,34135,US,https://vapesandsmokestores.com/,2394058043,,2021-10-11,,Yes,S,CBD,Yes,
,Pipe Dreams,3465 Bonita Beach Rd #6,,Bonita Springs,FL,34134,US,,2394987478,nickyfinsmoke@gmail.com,2019-01-03,,Yes,H,CBD,Yes,
,Tobacco & Glass,3431 Bonita Beach Rd SW #209,,Bonita Springs,FL,34134,US,,2392217082,,2018-09-24,6/14/2021,,S,,,
,True Empathy CBD,3431 Bonita Beach Rd SW Ste 204,,Bonita Springs,FL,34134,US,https://gettrueempathy.com/,2392217291,support@gettrueempathy.com,2020-12-10,,Yes,C,CBD,,
,Vape King,28441 S Tamiami Trl Ste 209,,Bonita Springs,FL,34134,US,http://www.vapekingecig.com/,2399483244,vapekingecigs@gmail.com,2018-09-16,,Yes,V,CBD,,
,"Your CBD Store - Bonita Springs, FL",3401 Pelican Landing Pkwy Ste 4,,Bonita Springs,FL,34134,US,https://cbdrx4u.com/,2393195957,,2019-09-11,9/11/2019,Yes,C,CBD,,
,A1A Smoke Shop,8890 Lawrence Rd #B,,Boynton Beach,FL,33436,US,,5618106993,,2019-07-15,,Yes,S,CBD,,
,Double D's Vapor & Tobacco World,700 W Boynton Beach Blvd,,Boynton Beach,FL,33426,US,,5619019145,,2018-08-10,5/23/2019,,S,,,
,Eagle Vapes,8135 S Military Trail Ste 103,,Boynton Beach,FL,33436,US,,5615096080,,2018-08-06,5/25/2019,Yes,S,CBD,,
,Flashbacks Deadhead Shop,1403 W Boynton Beach Blvd Ste 6,,Boynton Beach,FL,33426,US,,5617363446,,2018-11-28,,Yes,H,CBD,Yes,
,Good Clean Vapes,1015 West Gateway Blvd,,Boynton Beach,FL,33426,US,http://www.goodcleanvapes.com/,5613364810,info@goodcleanvapes.com,2018-08-06,12/22/2019,Yes,V,CBD,,
,Green Life Wellness Center,700 W Boynton Beach Blvd,,Boynton Beach,FL,33426,US,https://greenlifecenters.com/,5612230743,info@greenlifecenters.com,2021-10-02,,Yes,C,CBD,,
,Lighthouse Vape & Smoke Shop - Boynton,640 E Ocean Ave Ste 8,,Boynton Beach,FL,33435,US,http://www.lighthouseshops.com/,5615096850,len@lighthouseshops.com,2019-05-02,5/2/2019,Yes,S,CBD,Yes,
,Lion Heart Vapes Lounge,1750 N Congress Ave Ste 300,,Boynton Beach,FL,33426,US,https://lionheartvapeslounge.com/,5617398381,,2021-10-03,,Yes,V,CBD,Yes,
,PurWell,3100 S Congress Ave Ste 3,,Boynton Beach,FL,33426,US,https://www.purwell.com/,5617704055,info@purwell.com,2021-11-27,11/27/2021,Yes,C,CBD,,
,The Vape Shack and More,1403 W Boynton Beach Blvd Ste 17,,Boynton Beach,FL,33426,US,,5618104544,thevapeshackboynton@gmail.com,2019-05-21,,Yes,V,CBD,,
,USA Vape #4,3932 Hypoluxo Rd,,Boynton Beach,FL,33436,US,,5612251511,mldistro2019@gmail.com,2019-11-14,11/14/2019,Yes,V,CBD,Yes,
,Vape N Glass,12658 S Military Trl Ste 103,,Boynton Beach,FL,33436,US,,5614554704,vapesnglass@gmail.com,2021-10-01,10/1/2021,Yes,V,CBD,Yes,
,Vapes And More,10114 S Military Trail Ste 115,,Boynton Beach,FL,33436,US,,5615096708,sungreenllc@hotmail.com,2019-05-31,,Yes,S,CBD,Yes,
,Vapes and Smoke,8246 S Jog Rd,,Boynton Beach,FL,33472,US,https://vapesandsmokestores.com/,5615090667,,2021-10-01,,Yes,V,CBD,,
,Vapor Rocket,416 E Boynton Beach Blvd,,Boynton Beach,FL,33435,US,http://www.vaporrocket.com/,5612000122,vaporrocket@gmail.com,2018-09-09,4/7/2020,Yes,V,CBD,,
,"Your CBD Store - Boynton Beach, FL",1600 N Federal Hwy #9,,Boynton Beach,FL,33435,US,https://cbdrx4u.com/,5614197101,,2019-09-11,9/11/2019,Yes,C,CBD,,
,941 Vape & Smoke,4220 59th St W,,Bradenton,FL,34209,US,https://941-vape-smoke.business.site/,9412260767,941vapors@gmail.com,2021-10-14,,Yes,S,CBD,Yes,
,Big Boy Vapor,5235 26th St W,,Bradenton,FL,34207,US,,9415927490,,2021-11-13,,Yes,S,CBD,,
not imported,Big Boy Vapor,5203 Cortez Rd W #4,,Bradenton,FL,34210,US,,9415277937,,2021-11-13,,Yes,S,CBD,,
,Big Boy Vapor,5108 15th St E,,Bradenton,FL,34203,US,,9415927490,,2021-11-13,,Yes,S,CBD,,
not imported,Big Boy Vapor Lounge,6031 26th St W,,Bradenton,FL,34207,US,,9415451938,,2018-10-30,6/28/2019,Yes,S,CBD,,
,Big Boy Vapors,5237 33rd St E,,Bradenton,FL,34203,US,,9415927490,,2019-06-28,11/13/2021,Yes,S,CBD,,
,City of Vapors,5789 Manatee Ave W,,Bradenton,FL,34209,US,http://www.cityofvapors.com/,9419002706,info@cityofvapors.com,2018-06-16,6/26/2019,Yes,V,CBD,,
not imported,Clean Smoke,7309 52nd Pl E,,Bradenton,FL,34203,US,https://cleansmoke.com/,9417584100,sales@cleansmoke.com,2018-10-18,4/5/2019,Yes,V,CBD,Yes,
,Clean Smoke,4407 14th St W,,Bradenton,FL,34207,US,https://cleansmoke.com/,9417588400,sales@cleansmoke.com,2018-10-18,10/18/2018,Yes,V,CBD,Yes,
,Desert Winds Smoke Shop,6222 14th St W,,Bradenton,FL,34207,US,https://www.desertwindssmokeshop.com/,9412812941,shop@desertwindssmokeshop.com,2018-08-06,6/10/2021,Yes,S,CBD,Yes,
,Dragon Headz Bradenton,5285 30th St E,,Bradenton,FL,34203,US,,9412422498,dragonheadzsrq@gmail.com,2019-01-03,,Yes,S,CBD,Yes,
,Florida's Natural Farmacy,5112 14th St W Ste B,,Bradenton,FL,34207,US,https://www.floridasnaturalfarmacy.com/,9413454866,info@floridasnaturalfarmacy.com,2020-03-15,3/15/2020,Yes,C,CBD,Yes,
,Guys Tobacco,5872 14th St W,,Bradenton,FL,34207,US,https://guystobacco.business.site/,9417536988,,2019-11-20,,Yes,S,CBD,,
,H&H Vape & Smoke Shop & Hookah,4710 53rd Ave E,,Bradenton,FL,34203,US,,8123526117,,2021-10-17,10/17/2021,Yes,S,CBD,,
,It's Alll Good,4224 26th St W,,Bradenton,FL,34205,US,,9417556100,,2019-01-10,,Yes,H,CBD,Yes,
,Mad Vapor - West Bradenton,3314 Manatee Ave W,,Bradenton,FL,34205,US,,9412519503,,2019-05-02,,Yes,S,CBD,Yes,
,Smokes Revolution Inc./Mad Vapor,3116 53rd Ave E,,Bradenton,FL,34203,US,https://smokes-revolution-mad-vapor-vapor-and-smoke.business.site/,9412513925,,2018-10-11,,Yes,S,CBD,Yes,
,The Herbal Haberdashery,5221 14th St W,,Bradenton,FL,34207,US,https://www.theherbalhaberdashery.com/,9412016693,theherbalhaberdashery@gmail.com,2020-12-16,,Yes,O,CBD,Yes,
,The Vapers Depot,1127 W 53rd Ave,,Bradenton,FL,34207,US,http://www.thevapersdepot.com/,9417390454,m.vapersdepot@gmail.com,2018-09-25,,,V,,,
,The Village Mystic,1017 12th Ave,,Bradenton,FL,34203,US,https://thevillagemystic.com/,9417442424,thevillagemystic@gmail.com,2020-07-19,,Yes,O,CBD,,
,Tobacco Depot,4639 Cortez Rd W,,Bradenton,FL,34210,US,http://tobaccodepot.com,9417957776,store_720@tobaccodepot.com,2018-09-25,,,T,,,
,Totally Vape & Smoke Shop,4919 14th St W Ste C,,Bradenton,FL,34207,US,,9413037396,totallyvape1@gmail.com,2021-10-18,,Yes,V,CBD,Yes,
,Vapin Lizards,6503 FL-64,,Bradenton,FL,34208,US,http://www.vapinlizards.com/,9417472400,admin@vapinlizards.com,2018-09-09,8/11/2019,,V,,,
,"Your CBD Store - Bradenton, FL",2723 Manatee Ave W,,Bradenton,FL,34205,US,https://cbdrx4u.com/,9412261230,thecbdstore8@gmail.com,2019-09-11,9/11/2019,Yes,C,CBD,,
,Your CBD Store - West Bradenton,6676 Cortez Rd W,,Bradenton,FL,34210,US,https://cbdrx4u.com/find-us/florida/cortez-west-bradenton,9412544510,,2021-06-03,,Yes,C,CBD,,
,1 Stop Smoke Shop,873 W Bloomingdale Ave,,Brandon,FL,33511,US,,8135026402,,2018-10-28,11/14/2020,Yes,S,CBD,,
,Big John's Vapes,1919 West Brandon Blvd,,Brandon,FL,33511,US,,8136559100,,2021-09-29,,Yes,V,CBD,Yes,
,Brandon Vape,705 W Lumsden Rd,,Brandon,FL,33511,US,https://www.brandonvape.com/,8136817906,brandonvape@verizon.net,2014-08-27,5/12/2019,Yes,V,CBD,,
,CBD American Shaman of Brandon FL,2076 Badlands Dr,,Brandon,FL,33511,US,https://cbdamericanshaman.com/,8136533223,brandon.carnes1@gmail.com,2019-11-11,1/8/2020,Yes,C,CBD,,
,CBD Doctor - Brandon,116 W Bloomingdale Ave,,Brandon,FL,33511,US,https://www.cbddoctor.com/,8444420372,info@cbddoctor.com,2020-07-01,7/1/2020,Yes,C,CBD,,
,Elysium Vapor Co.,626 Oakfield Dr,,Brandon,FL,33511,US,https://www.elysiumvaporco.com/,8136617120,support@elysiumvaporco.com,2018-08-06,12/19/2019,Yes,V,CBD,Yes,
,Green Leaf Smoke Shop,740 W Brandon Blvd,,Brandon,FL,33511,US,https://www.facebook.com/greenleafsmokeshop,8133813817,,2018-12-22,,Yes,S,CBD,Yes,
,Hot Box Tattoos,1037 S Brandon Blvd,,Brandon,FL,33511,US,,8136852255,hotboxtattoo@gmail.com,2019-01-02,,Yes,H,CBD,Yes,
,Moon Mountain Vapor,210 S Kings Ave Ste J,,Brandon,FL,33511,US,https://moonmountain.com/,8136848273,info@moonmountain.com,2018-09-11,,,V,,,
,Puff & Stuff Smoke Shop,1001 Lithia Pinecrest Rd,,Brandon,FL,33511,US,,8136533231,puffandstufflithia@gmail.com,2019-12-01,,,S,,,
,Releaf MD,166 E Bloomingdale Ave Ste A,,Brandon,FL,33511,US,https://shopreleafmd.com/,8136513492,info@releafmd.care,2020-07-16,,Yes,C,CBD,,
,Soho Smoke,2026 Badlands Dr,,Brandon,FL,33511,US,,8135304807,sohosmoke@gmail.com,2020-03-27,,,S,,,
,The Good Life Smoke Shop,2108 W Brandon Blvd,,Brandon,FL,33511,US,http://www.smokeshoptampabay.com/,8133248879,goodtimez3llc@gmail.com,2018-08-06,6/20/2019,Yes,S,CBD,Yes,
,The Vapers Manor,459 Brandon Town Center Dr Ste 829,,Brandon,FL,33511,US,https://thevapersmanor.com/,8134205411,thevapersmanor@gmail.com,2021-10-04,,Yes,V,CBD,Yes,
,Tobacco Depot,169 E Bloomingdale Ave,,Brandon,FL,33511,US,http://tobaccodepot.com,8136619199,store_721@tobaccodepot.com,2018-10-25,,,T,,,
,Twist Vapor Cafe,1260 E Brandon Blvd,,Brandon,FL,33511,US,http://twistvapor.com/,8136895999,info@twistvapor.com,2019-11-19,,Yes,V,CBD,Yes,
,Vapor Bay,2119 W Brandon Blvd Ste G,,Brandon,FL,33511,US,http://www.vaporbaytampa.com/,8134388779,brandonvapor@hotmail.com,2018-09-09,5/2/2019,Yes,V,CBD,Yes,
,Vapor Road,934 W Brandon Blvd,,Brandon,FL,33511,US,http://vaporroadflorida.com/,8133813812,vaporroad1@gmail.com,2018-09-19,,Yes,V,CBD,Yes,
,"Your CBD Store - Brandon, FL",823 E Brandon Blvd,,Brandon,FL,33511,US,https://cbdrx4u.com/,8139687223,brandonfl@cbdrx4u.com,2019-09-11,9/11/2019,Yes,C,CBD,,
,Backwood Vapors,112 SW Suwannee Ave,,Branford,FL,32008,US,,3866281311,,2018-06-13,6/24/2019,,V,,,
,Pandora's Box Smoke Shop,12115 Cortez Blvd,,Brooksville,FL,34601,US,,3523404112,,2021-10-11,,Yes,S,CBD,Yes,
,Smoke & Vape Shop Unlimited,18622 Cortez Blvd Ste 7,,Brooksville,FL,34601,US,,3528483607,vaporunlimitedllc@gmail.com,2019-03-17,10/13/2021,Yes,S,CBD,,
,Super Discount Beverage and Smoke Shop,814 S Broad St,,Brooksville,FL,34601,US,http://super-discount-beverage.business.site/,3527543036,,2020-04-14,,,S,,,
,Flagler Discount Vape,4601 E Moody Blvd,,Bunnell,FL,32110,US,,9739343767,aluap9@gmail.com,2021-05-01,,Yes,T,CBD,Yes,
,The Cheap Store,4601 E Moody Blvd Ste A1,,Bunnell,FL,32110,US,http://bunnellsmokeshop.com/,3864370004,,2019-01-04,,Yes,S,CBD,Yes,
,Cloud 352,2249 W E C 48,,Bushnell,FL,33513,US,,3525694169,cloud352florida@gmail.com,2020-01-01,1/1/2020,Yes,V,CBD,,
,Safeway Discount Beverage,542214 US Hwy 1,,Callahan,FL,32011,US,,9048799189,,2021-10-12,,,O,,Yes,
,Dr. Vape It,846 N Tyndall Pkwy,,Callaway,FL,32404,US,http://www.drvapeit.com/,8502600028,admin@drvapeit.com,2019-09-18,,,V,,,
,MJM Vapor Connection,2456 S Hwy 29,,Cantonment,FL,32533,US,,8509685777,,2019-12-30,,,V,,,
,Space Coast CBD,7004 N Atlantic Ave,,Cape Canaveral,FL,32920,US,http://spacecoastcbd.com/,3216132836,tropicalessentialoils@gmail.com,2020-06-23,6/23/2020,Yes,C,CBD,,
,Dream Pipes n Smokes,1421 SE 47th Terrace #9638,,Cape Coral,FL,33904,US,,2395413474,,2019-08-24,,Yes,S,CBD,Yes,
,Hancock Smoke Shop,159 Hancock Bridge Pkwy,,Cape Coral,FL,33990,US,,2396738855,,2019-11-22,,,S,,,
,Holy Smoke And Vape Shop,1426 Cape Coral Pkwy E,,Cape Coral,FL,33904,US,,2395493774,holysmokeandvape@gmail.com,2018-11-08,6/19/2021,Yes,S,CBD,Yes,
,Marley's Smoke Shop,4425 Del Prado Blvd Ste B,,Cape Coral,FL,33904,US,,2399453079,,2019-01-02,10/10/2021,Yes,S,CBD,Yes,
,Mermaid Liquor & Tobacco,125 Del Prado Blvd N,,Cape Coral,FL,33909,US,http://mermaidliquor.com/,2397720444,mermaidliquortobacco@gmail.com,2020-01-19,,,S,,,
,Naples Vapor,820 Cape Coral Pkwy E,,Cape Coral,FL,33904,US,,2394712863,,2014-09-09,1/28/2019,,V,,,
,Naples Vapor,814 SW Pine Island Rd,,Cape Coral,FL,33991,US,,2395738608,,2014-09-09,1/28/2019,,V,,,
,Naples Vapor,2118 Del Prado Blvd S,,Cape Coral,FL,33990,US,,2398002886,,2018-09-10,5/27/2020,,V,,,
,Nature's Organic CBD,3108 Del Prado Blvd S #1,,Cape Coral,FL,33904,US,https://naturesorganiccbd.com/,2399362497,sales@naturesorganiccbd.com,2021-03-02,,Yes,C,CBD,,
,Santa Tobacco,2708 Santa Barbara Blvd Ste 127,,Cape Coral,FL,33914,US,,2396739273,info@santa-tobacco.com,2018-11-30,,Yes,S,CBD,Yes,
,The King of Vape,1242 SW Pine Island Rd,,Cape Coral,FL,33991,US,https://thekingofvape.com/,2396736972,tom@thekingofvape.com,2019-08-15,8/15/2019,Yes,V,CBD,,
,The King of Vape,1407 Del Prado Blvd S,,Cape Coral,FL,33990,US,https://thekingofvape.com/,2398002799,tom@thekingofvape.com,2018-09-25,8/15/2019,Yes,V,CBD,,
,The King of Vape,3032 Santa Barbara Blvd Unit 205,,Cape Coral,FL,33914,US,https://thekingofvape.com/,2398003578,,2018-09-25,8/15/2019,Yes,V,CBD,,
,The Vape Store,1110 Del Prado Blvd S Unit C,,Cape Coral,FL,33990,US,https://thevapestoreinc.com/,2396736650,sales@thevapestoreonline.com,2014-09-07,1/26/2019,,V,,,
,The Vape Store,2717 Santa Barbara Blvd Unit 5,,Cape Coral,FL,33914,US,https://thevapestoreinc.com/,2394248065,sales@thevapestoreonline.com,2018-09-13,,,V,,,
,Up In Smoke In The Cape,1059 NE Pine Island Rd #2,,Cape Coral,FL,33909,US,https://upinsmokeinthecape.com/,2399805622,tmblair420@upinsmokeinthecape.com,2018-11-05,,Yes,H,CBD,Yes,
,Vape King - Cape Coral,311 Del Prado Blvd S Suite 8,,Cape Coral,FL,33990,US,http://www.vapekingecig.com/,2396736576,vapekingecigs@gmail.com,2018-09-16,,,V,,,
,"Your CBD Store - Cape Coral, FL",1532 SE 47th St,,Cape Coral,FL,33904,US,https://cbdrx4u.com/,2392170197,thecbdstore8@gmail.com,2019-09-11,9/11/2019,Yes,C,CBD,,
,Your CBD Store - Chiquita Plaza,1242 SW Pine Island Rd #15,,Cape Coral,FL,33991,US,https://cbdrx4u.com/find-us/florida/cape-coral-chiquita-plaza,2398290036,,2021-06-03,,Yes,C,CBD,,
,Civil Vapes - Casselberry,114 FL-436,,Casselberry,FL,32707,US,,4078311001,civilvapescb@gmail.com,2015-02-14,3/29/2019,Yes,V,CBD,,
,Climax Smoke Shop,951 FL-436,,Casselberry,FL,32707,US,https://climaxshops.com/,4076366913,info@climaxshops.com,2018-08-06,9/8/2019,Yes,S,CBD,Yes,
,Leafy8 Delta 8,360 Wilshire Blvd Ste 103,,Casselberry,FL,32707,US,https://leafy8.com/new-wave-of-hemp-derived-delta-8-thc-products/,8554532398,info@leafy8.com,2021-12-02,12/2/2021,Yes,C,CBD,,
,Mike Smoke Shop,500 FL-436 #1030,,Casselberry,FL,32707,US,https://mikesmokeshopfl.com/,4079605853,malek_alnono@yahoo.com,2021-10-10,,Yes,S,CBD,Yes,
,Suva Kava Lounge,1015 SR 436 S,,Casselberry,FL,32707,US,https://www.suvakavalounge.com,4076365112,suvalounge@gmail.com,2021-10-05,,,O,,Yes,
,Smoke Shop,2202 N Young Blvd #201,,Chiefland,FL,32626,US,http://smokeshop-meera-chiefland.business.site/,3524937118,,2020-02-24,2/24/2020,Yes,S,CBD,Yes,
,The Hemp Station,118 Rodgers Blvd,,Chiefland,FL,32626,US,https://the-hemp-station.square.site/,3526147348,cdbhemp@gmail.com,2020-12-16,,Yes,C,CBD,,
,The Juice Box,6891 NW 138th Pl,,Chiefland,FL,32626,US,,3524934404,thejuicebox1@att.net,2018-10-25,5/14/2019,,V,,,
,Kratom & CBD Express,1699 Main St,,Chipley,FL,32428,US,https://business.site,8506384008,,2021-02-25,,Yes,O,CBD,Yes,
,Vapor Tech Inc.,1611 Main St Ste 3,,Chipley,FL,32428,US,http://www.vaportechinc.org/,8506764905,vaportechinc@ymail.com,2019-10-06,,,V,,,
,Atomic Smoke Shop,2093 N Highland Ave,,Clearwater,FL,33755,US,,7277546469,,2018-12-26,12/26/2018,Yes,S,CBD,Yes,
,Atomic Smoke Shop,2254 Gulf To Bay Blvd,,Clearwater,FL,33761,US,,7273865757,,2019-01-04,10/8/2019,,S,,Yes,
,CBD Plus USA - Clearwater,13501 Icot Blvd Ste 110,,Clearwater,FL,33760,US,https://cbdplususa.com/,8334223758,info@cbdplususa.com,2019-08-15,,Yes,C,CBD,,
,Clearwater Smoke Shop,2862 Gulf To Bay Blvd Unit F,,Clearwater,FL,33759,US,http://clearwatersmokeshop.com,7272490439,info@clearwatersmokeshop.com,2019-02-18,2/18/2019,Yes,S,CBD,Yes,
